mode_rank,eigen_index,vtk_w_field,lambda_real,lambda_imag,node_row,x,y,w,phi_1,phi_2
1,1,w1,-Inf,0.0,1,0.0,0.0,5.889553811261569e-22,6.025039207767044e-12,-6.025039042733177e-12
1,1,w1,-Inf,0.0,2,1.0,0.0,5.889553811261547e-22,1.4088148828406327e-12,-1.4088147178066104e-12
1,1,w1,-Inf,0.0,3,1.0,1.0,-8.507296681598717e-21,1.0,-0.9999999999999998
1,1,w1,-Inf,0.0,4,0.0,1.0,-8.507296681598718e-21,-3.010453107418545e-12,3.0104524554521015e-12
1,1,w1,-Inf,0.0,5,0.2499999999994109,0.0,5.889553811261546e-22,1.9779788450054905e-12,-1.977978679971907e-12
1,1,w1,-Inf,0.0,6,0.4999999999986921,0.0,5.889553811261546e-22,9.388336848904433e-20,7.115060555765944e-20
1,1,w1,-Inf,0.0,7,0.7499999999993406,0.0,5.889553811261549e-22,5.07645919220543e-12,-5.076459027171262e-12
1,1,w1,-Inf,0.0,8,1.0,0.2499999999994109,-6.59277923143983e-23,3.149800153317339e-21,2.1407764250746834e-21
1,1,w1,-Inf,0.0,9,1.0,0.4999999999986921,-4.091239299982132e-21,1.4446101013024112e-10,-1.4446101015092108e-10
1,1,w1,-Inf,0.0,10,1.0,0.7499999999993406,-1.2578851353826555e-21,3.7252456741119795e-20,-1.4778151268863793e-19
1,1,w1,-Inf,0.0,11,0.7500000000003471,1.0,-8.507296681598711e-21,1.6067605636119541e-12,-1.6067612155783983e-12
1,1,w1,-Inf,0.0,12,0.5000000000020595,1.0,-8.507296681598715e-21,1.8206437168214e-20,-6.7017288077795205e-19
1,1,w1,-Inf,0.0,13,0.2500000000010405,1.0,-8.507296681598715e-21,-5.68659819454097e-12,5.686597542574526e-12
1,1,w1,-Inf,0.0,14,0.0,0.7500000000003471,-1.2578851353915436e-21,-5.816382868954966e-20,-5.2365227259239e-20
1,1,w1,-Inf,0.0,15,0.0,0.5000000000020595,-4.091239299990157e-21,-4.214034482159411e-11,4.2140344800914146e-11
1,1,w1,-Inf,0.0,16,0.0,0.2500000000010405,-6.592779232965198e-23,-4.431154361784292e-20,4.96021201956296e-20
