mode_rank,m,n,w_h_exact
191,15,6,2574.7434
192,3,16,2614.1840
193,16,3,2614.1840
194,11,12,2614.1840
195,12,11,2614.1840
196,10,13,2653.6241
197,13,10,2653.6241
198,4,16,2683.2038
199,16,4,2683.2038
200,7,15,2702.9234
201,15,7,2702.9234
202,9,14,2732.5026
203,14,9,2732.5026
204,5,16,2771.9409
205,16,5,2771.9409
206,12,12,2840.9567
207,8,15,2850.8159
208,15,8,2850.8159
209,1,17,2860.6751
210,17,1,2860.6751
211,11,13,2860.6751
212,13,11,2860.6751
213,6,16,2880.3934
214,16,6,2880.3934
215,2,17,2890.2525
216,17,2,2890.2525
217,10,14,2919.8296
218,14,10,2919.8296
219,3,17,2939.5475
220,17,3,2939.5475
221,4,17,3008.5590
222,17,4,3008.5590
223,7,16,3008.5590
224,16,7,3008.5590
225,9,15,3018.4176
226,15,9,3018.4176
227,12,13,3087.4271
228,13,12,3087.4271
229,5,17,3097.2855
230,17,5,3097.2855
231,11,14,3126.8603
232,14,11,3126.8603
233,8,16,3156.4348
234,16,8,3156.4348
235,1,18,3205.7250
236,18,1,3205.7250
237,6,17,3205.7250
238,17,6,3205.7250
239,10,15,3205.7250
240,15,10,3205.7250
241,2,18,3235.2986
242,18,2,3235.2986
243,3,18,3284.5873
244,18,3,3284.5873
245,9,16,3324.0177
246,16,9,3324.0177
247,7,17,3333.8752
248,17,7,3333.8752
249,13,13,3333.8752
250,4,18,3353.5900
251,18,4,3353.5900
252,12,14,3353.5900
253,14,12,3353.5900
254,11,15,3412.7338
255,15,11,3412.7338
256,5,18,3442.3052
257,18,5,3442.3052
258,8,17,3481.7333
259,17,8,3481.7333
260,10,16,3511.3039
261,16,10,3511.3039
262,6,18,3550.7309
263,18,6,3550.7309
264,1,19,3570.4442
265,19,1,3570.4442
266,2,19,3600.0139
267,19,2,3600.0139
268,13,14,3600.0139
269,14,13,3600.0139
270,12,15,3639.4397
271,15,12,3639.4397
272,3,19,3649.2960
273,19,3,3649.2960
274,9,17,3649.2960
275,17,9,3649.2960
276,7,18,3678.8648
277,18,7,3678.8648
278,4,19,3718.2894
279,19,4,3718.2894
280,11,16,3718.2894
281,16,11,3718.2894
282,5,19,3806.9927
283,19,5,3806.9927
284,8,18,3826.7041
285,18,8,3826.7041
286,10,17,3836.5598
287,17,10,3836.5598
288,14,14,3866.1266
289,13,15,3885.8376
290,15,13,3885.8376
291,6,19,3915.4038
292,19,6,3915.4038
293,12,16,3944.9697
294,16,12,3944.9697
295,1,20,3954.8250
296,20,1,3954.8250
297,2,20,3984.3905
298,20,2,3984.3905
299,9,18,3994.2456
300,18,9,3994.2456
301,3,20,4033.6656
302,20,3,4033.6656
303,7,19,4043.5205
304,19,7,4043.5205
305,11,17,4043.5205
306,17,11,4043.5205
307,4,20,4102.6492
308,20,4,4102.6492
309,14,15,4151.9222
310,15,14,4151.9222
311,10,18,4181.4855
312,18,10,4181.4855
313,5,20,4191.3399
314,20,5,4191.3399
315,8,19,4191.3399
316,19,8,4191.3399
317,13,16,4191.3399
318,16,13,4191.3399
319,12,17,4270.1736
320,17,12,4270.1736
321,6,20,4299.7357
322,20,6,4299.7357
323,1,21,4358.8588
324,21,1,4358.8588
325,9,19,4358.8588
326,19,9,4358.8588
327,2,21,4388.4199
328,21,2,4388.4199
329,11,18,4388.4199
330,18,11,4388.4199
331,7,20,4427.8342
332,20,7,4427.8342
333,3,21,4437.6877
334,21,3,4437.6877
335,15,15,4437.6877
336,14,16,4457.3945
337,16,14,4457.3945
338,4,21,4506.6611
339,21,4,4506.6611
340,13,17,4516.5143
341,17,13,4516.5143
342,10,19,4546.0736
343,19,10,4546.0736
344,8,20,4575.6327
345,20,8,4575.6327
346,5,21,4595.3385
347,21,5,4595.3385
348,12,18,4615.0443
349,18,12,4615.0443
350,6,21,4703.7182
351,21,6,4703.7182
352,9,20,4743.1279
353,20,9,4743.1279
354,15,16,4743.1279
355,16,15,4743.1279
356,11,19,4752.9802
357,19,11,4752.9802
358,1,22,4782.5370
359,22,1,4782.5370
360,14,17,4782.5370
361,17,14,4782.5370
362,2,22,4812.0935
363,22,2,4812.0935
364,7,21,4831.7976
365,21,7,4831.7976
366,3,22,4861.3536
367,22,3,4861.3536
368,13,18,4861.3536
369,18,13,4861.3536
370,4,22,4930.3162
371,22,4,4930.3162
372,10,20,4930.3162
373,20,10,4930.3162
374,8,21,4979.5741
375,21,8,4979.5741
376,12,19,4979.5741
377,19,12,4979.5741
378,5,22,5018.9798
379,22,5,5018.9798
380,16,16,5048.5337
381,15,17,5068.2361
382,17,15,5068.2361
383,6,22,5127.3425
384,22,6,5127.3425
385,14,18,5127.3425
386,18,14,5127.3425
387,11,20,5137.1935
388,20,11,5137.1935
389,9,21,5147.0444
390,21,9,5147.0444
391,1,23,5225.8503
392,23,1,5225.8503
393,13,19,5225.8503
394,19,13,5225.8503
395,2,23,5255.4020
396,23,2,5255.4020
397,7,22,5255.4020
398,22,7,5255.4020
399,3,23,5304.6540
400,23,3,5304.6540
401,10,21,5334.2048
402,21,10,5334.2048
403,12,20,5363.7553
404,20,12,5363.7553
405,4,23,5373.6054
406,23,4,5373.6054
407,16,17,5373.6054
408,17,16,5373.6054
409,8,22,5403.1554
410,22,8,5403.1554
411,15,18,5413.0053
412,18,15,5413.0053
413,5,23,5462.2545
414,23,5,5462.2545
415,14,19,5491.8036
416,19,14,5491.8036
417,11,21,5541.0513
418,21,11,5541.0513
419,6,23,5570.5995
420,23,6,5570.5995
421,9,22,5570.5995
422,22,9,5570.5995
423,13,20,5609.9967
424,20,13,5609.9967
425,1,24,5688.7892
426,24,1,5688.7892
427,7,23,5698.6381
428,23,7,5698.6381
429,17,17,5698.6381
430,2,24,5718.3358
431,24,2,5718.3358
432,16,18,5718.3358
433,18,16,5718.3358
434,10,22,5757.7308
435,22,10,5757.7308
436,3,24,5767.5794
437,24,3,5767.5794
438,12,21,5767.5794
439,21,12,5767.5794
440,15,19,5777.4280
441,19,15,5777.4280
442,4,24,5836.5190
443,24,4,5836.5190
444,8,23,5846.3674
445,23,8,5846.3674
446,14,20,5875.9123
447,20,14,5875.9123
448,5,24,5925.1530
449,24,5,5925.1530
450,11,22,5964.5450
451,22,11,5964.5450
452,9,23,6013.7842
453,23,9,6013.7842
454,13,21,6013.7842
455,21,13,6013.7842
456,6,24,6033.4796
457,24,6,6033.4796
458,17,18,6043.3272
459,18,17,6043.3272
460,16,19,6082.7175
461,19,16,6082.7175
462,7,24,6161.4963
463,24,7,6161.4963
464,15,20,6161.4963
465,20,15,6161.4963
466,1,25,6171.3435
467,25,1,6171.3435
468,12,22,6191.0377
469,22,12,6191.0377
470,2,25,6200.8848
471,25,2,6200.8848
472,10,23,6200.8848
473,23,10,6200.8848
474,3,25,6250.1197
475,25,3,6250.1197
476,14,21,6279.6602
477,21,14,6279.6602
478,8,24,6309.2004
479,24,8,6309.2004
480,4,25,6319.0470
481,25,4,6319.0470
482,18,18,6387.9726
483,5,25,6407.6653
484,25,5,6407.6653
485,11,23,6407.6653
486,23,11,6407.6653
487,17,19,6407.6653
488,19,17,6407.6653
489,13,22,6437.2041
490,22,13,6437.2041
491,16,20,6466.7425
492,20,16,6466.7425
493,9,24,6476.5886
494,24,9,6476.5886
495,6,25,6515.9726
496,25,6,6515.9726
497,15,21,6565.2018
498,21,15,6565.2018
499,12,23,6634.1211
500,23,12,6634.1211
501,7,25,6643.9666
502,25,7,6643.9666
503,10,24,6663.6574
504,24,10,6663.6574
505,1,26,6673.5028
506,26,1,6673.5028
507,2,26,6703.0387
508,26,2,6703.0387
509,14,22,6703.0387
510,22,14,6703.0387
511,3,26,6752.2644
512,26,3,6752.2644
513,18,19,6752.2644
514,19,18,6752.2644
515,8,25,6791.6444
516,25,8,6791.6444
517,17,20,6791.6444
518,20,17,6791.6444
519,4,26,6821.1790
520,26,4,6821.1790
521,11,24,6870.4026
522,24,11,6870.4026
523,16,21,6870.4026
524,21,16,6870.4026
525,13,23,6880.2473
526,23,13,6880.2473
527,5,26,6909.7809
528,26,5,6909.7809
529,9,25,6959.0029
530,25,9,6959.0029
531,15,22,6988.5357
532,22,15,6988.5357
533,6,26,7018.0682
534,26,6,7018.0682
535,12,24,7096.8198
536,24,12,7096.8198
537,19,19,7116.5074
538,18,20,7136.1948
539,20,18,7136.1948
540,7,26,7146.0385
541,26,7,7146.0385
542,10,25,7146.0385
543,25,10,7146.0385
544,14,23,7146.0385
545,23,14,7146.0385
546,17,21,7195.2562
547,21,17,7195.2562
548,8,26,7293.6890
549,26,8,7293.6890
550,16,22,7293.6890
551,22,16,7293.6890
552,13,24,7342.9041
553,24,13,7342.9041
554,11,25,7352.7470
555,25,11,7352.7470
556,15,23,7431.4889
557,23,15,7431.4889
558,9,26,7461.0166
559,26,9,7461.0166
560,19,20,7500.3863
561,20,19,7500.3863
562,18,21,7539.7554
563,21,18,7539.7554
564,12,25,7579.1239
565,25,12,7579.1239
566,14,24,7608.6500
567,24,14,7608.6500
568,17,22,7618.4919
569,22,17,7618.4919
570,10,26,7648.0175
571,26,10,7648.0175
572,16,23,7736.5924
573,23,16,7736.5924
574,13,25,7825.1645
575,25,13,7825.1645
576,11,26,7854.6878
